PT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
height;1025mm mit 2 Falten;1225mm mit 2 Falten;1525mm mit 3 Falten;1725mm mit 3 Falten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
width;Bausatz 5m mit 2 Netzen 3 Pfosten und Befestigungsteilen;Bausatz 7,5m mit 3 Netzen 4 Pfosten und Befestigungsteilen;Bausatz 10m mit 4 Netzen 5 Pfosten und Befestigungsteilen;Bausatz 12,5m mit 5 Netzen 6 Pfosten und Befestigungsteilen;Bausatz 15m mit 6 Netzen 7 Pfosten und Befestigungsteilen;Bausatz 17,5m mit 7 Netzen 8 Pfosten und Befestigungsteilen;Bausatz 20m mit 8 Netzen 9 Pfosten und Befestigungsteilen;Bausatz 22,5m mit 9 Netzen 10 Pfosten und Befestigungsteilen; Bausatz 25m mit 10 Netzen 11 Pfosten und Befestigungsteilen; Bausatz 27,5m mit 11 Netzen 12 Pfosten und Befestigungsteilen;Bausatz 30m mit 12 Netzen 13 Pfosten und Befestigungsteilen;Bausatz 32,5m mit 13 Netzen 14 Pfosten und Befestigungsteilen; Bausatz 35m mit 14 Netzen 15 Pfosten und Befestigungsteilen; Bausatz 37,5m mit 15 Netzen 16 Pfosten und Befestigungsteilen; Bausatz 40m mit 16 Netzen 17 Pfosten und Befestigungsteilen; Bausatz 42,5m mit 17 Netzen 18 Pfosten und Befestigungsteilen;Bausatz 45m mit 18 Netzen 19 Pfosten und Befestigungsteilen;Bausatz 47,5m mit 19 Netzen 20 Pfosten und Befestigungsteilen;Bausatz 50m mit 20 Netzen 21 Pfosten und Befestigungsteilen;Bausatz 52,5m mit 21 Netzen 22 Pfosten und Befestigungsteilen; Bausatz 55m mit 22 Netzen 23 Pfosten und Befestigungsteilen; Bausatz 57,5m mit 23 Netzen 24 Pfosten und Befestigungsteilen;Bausatz 60m mit 24 Netzen 25 Pfosten und Befestigungsteilen;Bausatz 62,5m mit 25 Netzen 26 Pfosten und Befestigungsteilen; Bausatz 65m mit 26 Netzen 27 Pfosten und Befestigungsteilen; Bausatz 67,5m mit 27 Netzen 28 Pfosten und Befestigungsteilen; Bausatz 70m mit 28 Netzen 29 Pfosten und Befestigungsteilen; Bausatz 72,5m mit 29 Netzen 30 Pfosten und Befestigungsteilen;Bausatz 75m mit 30 Netzen 31 Pfosten und Befestigungsteilen;Bausatz 77,5m mit 31 Netzen 32 Pfosten und Befestigungsteilen;Bausatz 80m mit 32 Netzen 33 Pfosten und Befestigungsteilen;Bausatz 82,5m mit 33 Netzen 34 Pfosten und Befestigungsteilen;Bausatz 85m mit 34 Netzen 35 Pfosten und Befestigungsteilen;Bausatz 87,5m mit 35 Netzen 36 Pfosten und Befestigungsteilen;Bausatz 90m mit 36 Netzen 37 Pfosten und Befestigungsteilen;Bausatz 92,5m mit 37 Netzen 38 Pfosten und Befestigungsteilen;Bausatz 95m mit 38 Netzen 39 Pfosten und Befestigungsteilen;Bausatz 97,5m mit 39 Netzen 40 Pfosten und Befestigungsteilen;Bausatz 100m mit 40 Netzen 41 Pfosten und Befestigungsteilen;Bausatz 102,5m mit 41 Netzen 42 Pfosten und Befestigungsteilen;Bausatz 105m mit 42 Netzen 43 Pfosten und Befestigungsteilen;Bausatz 107,5m mit 43 Netzen 44 Pfosten und Befestigungsteilen;Bausatz 110m mit 44 Netzen 45 Pfosten und Befestigungsteilen;Bausatz 112,5m mit 45 Netzen 46 Pfosten und Befestigungsteilen;Bausatz 115m mit 46 Netzen 47 Pfosten und Befestigungsteilen;Bausatz 117,5m mit 47 Netzen 48 Pfosten und Befestigungsteilen;Bausatz 120m mit 48 Netzen 49 Pfosten und Befestigungsteilen
depth;sem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47
1;0;53.75;107.5;161.25;215;268.75;322.5;376.25;430;483.75;537.5;591.25;0;53.75;107.5;161.25;215;268.75;322.5;376.25;430;483.75;537.5;591.25;645;698.75;752.5;806.25;860;913.75;967.5;1021.25;1075;1128.75;1182.5;1236.25;1290;1343.75;1397.5;1451.25;1505;1558.75;1612.5;1666.25;1720;1773.75;1827.5
2;15.0666666666667;75.4083333333334;135.75;196.091666666667;256.433333333333;316775;377.116666666667;437.458333333333;497.8;558.141666666667;618.483333333333;678825;94.1666666666666;154.508333333333;214.85;275.191666666667;335.533333333333;395875;456.216666666667;516.558333333333;576.9;637.241666666667;697.583333333333;757925;818.266666666667;878.608333333333;938.95;999.291666666667;1059.63333333333;1119975;1180.31666666667;1240.65833333333;1301;1361.34166666667;1421.68333333333;1482025;1542.36666666667;1602.70833333333;1663.05;1723.39166666667;1783.73333333333;1844075;1904.41666666667;1964.75833333333;2025.1;2085.44166666667;2145.78333333333
3;38.6083333333333;109.308333333333;180.008333333333;250.708333333333;321.408333333333;392.108333333333;462.808333333333;533.508333333333;604.208333333333;674.908333333334;745.608333333333;816.308333333334;242.008333333333;312.708333333333;383.408333333333;454.108333333333;524.808333333334;595.508333333334;666.208333333333;736.908333333333;807.608333333333;878.308333333334;949.008333333334;1019.70833333333;1090.40833333333;1161.10833333333;1231.80833333333;1302.50833333333;1373.20833333333;1443.90833333333;1514.60833333333;1585.30833333333;1656.00833333333;1726.70833333333;1797.40833333333;1868.10833333333;1938.80833333333;2009.50833333333;2080.20833333333;2150.90833333333;2221.60833333333;2292.30833333333;2363.00833333333;2433.70833333333;2504.40833333333;2575.10833333333;2645.80833333333
4;61.2083333333333;141325;221.441666666667;301.558333333333;381675;461.791666666667;541.908333333334;622025;702.141666666667;782.258333333333;862375;942.491666666667;377.608333333333;457725;537.841666666667;617.958333333333;698075;778.191666666667;858.308333333334;938425;1018.54166666667;1098.65833333333;1178775;1258.89166666667;1339.00833333333;1419125;1499.24166666667;1579.35833333333;1659475;1739.59166666667;1819.70833333333;1899825;1979.94166666667;2060.05833333333;2140175;2220.29166666667;2300.40833333333;2380525;2460.64166666667;2540.75833333333;2620875;2700.99166666667;2781.10833333333;2861225;2941.34166666667;3021.45833333333;3101575
